,Datetime,Title,Description,Link,Label,MS,NR,Hard
17, ۱۰ ارديبهشت ۱۴۰۲ - ۰۸:۱۴ ,رشد ۴۱هزار واحدی شاخص بورس در هفته‌ای که گذشت,شاخص بورس در جریان معاملات هفته گذشته با افزایش ۴۱ هزار واحدی به کار خود پایان داد.,https://www.tasnimnews.com/fa/news/1402/02/10/2887088/رشد-41هزار-واحدی-شاخص-بورس-در-هفته-ای-که-گذشت,1,,,0
18, ۰۹ ارديبهشت ۱۴۰۲ - ۱۲:۴۵ ,گزارش روزانه بورس ۹ اردیبهشت/ ارزش معاملات باز هم رکورد شکست,بازار سهام روز ابتدایی هفته را با رشدی ۷۳هزار واحدی در شرایطی به پایان رساند که ارزش معاملات از ۲۱هزار میلیارد تومان فراتر رفت و رکورد دوساله خود را شکست.,https://www.tasnimnews.com/fa/news/1402/02/09/2886737/گزارش-روزانه-بورس-9-اردیبهشت-ارزش-معاملات-باز-هم-رکورد-شکست,1,,,0
19, ۰۹ ارديبهشت ۱۴۰۲ - ۱۲:۳۰ ,فروش فاو، امپاور و فورس در بورس کالا,کشنده فاو و امپاور و کامیون فورس به روش بورس کالا به فروش می‌رسد.,https://www.tasnimnews.com/fa/news/1402/02/09/2886721/فروش-فاو-امپاور-و-فورس-در-بورس-کالا,1,,,0
20, ۰۹ ارديبهشت ۱۴۰۲ - ۱۱:۱۷ ,میزگرد خصوصی سازی/ سوزاندن خشک و تر در ماجرای اعاده شرکتهای واگذار شده/ خطاهای گذشته باید جبران شود,یک کارشناس اقتصادی با بیان اینکه در حوزه خصوصی‌سازی خشک و تر را با یکدیگر سوزاندیم، گفت: در مواردی خصوصی‌سازی درست انجام شده بود اما صدای خصوصی‌سازی در هیاهو‌ها شنیده نشد. به عبارت دیگر سازمان خصوصی‌سازی و دولت نتوانستند از خود دفاع کنند.,https://www.tasnimnews.com/fa/news/1402/02/09/2886597/میزگرد-خصوصی-سازی-سوزاندن-خشک-و-تر-در-ماجرای-اعاده-شرکتهای-واگذار-شده-خطاهای-گذشته-باید-جبران-شود,,,,0
21, ۰۹ ارديبهشت ۱۴۰۲ - ۱۰:۴۱ ,رشد ۶۰ هزار واحدی شاخص کل در ۱ ساعت ابتدایی بازار,شاخص کل بازار سرمایه، ۱ ساعت ابتدایی بازار را با رشدی ۶۰ هزار واحدی آغاز کرد.,https://www.tasnimnews.com/fa/news/1402/02/09/2886611/رشد-60-هزار-واحدی-شاخص-کل-در-1-ساعت-ابتدایی-بازار,1,,,0
22, ۰۶ ارديبهشت ۱۴۰۲ - ۱۲:۵۷ ,گزارش روزانه بورس ۶ اردیبهشت/ ریزش شاخص کل در روز رشد شاخص هم وزن,شاخص کل آخرین روز کاری هفته را با نزول به پایان رساند.,https://www.tasnimnews.com/fa/news/1402/02/06/2885425/گزارش-روزانه-بورس-6-اردیبهشت-ریزش-شاخص-کل-در-روز-رشد-شاخص-هم-وزن,-1,,,0
23, ۰۶ ارديبهشت ۱۴۰۲ - ۱۰:۵۰ ,چرا حدنصاب خرید سهام صندوق های درآمد ثابت کاهش یافت؟,اگرچه بنظر می رسد ابلاغیه کاهش حدنصاب خرید سهام صندوق های درآمد ثابت علاوه بر هدف کاهش ریسک سرمایه گذاری توسط این صندوق ها، هدف دیگری همچون جلوگیری از رشد شارپی شاخص داشته است، اما به نظر می رسد برای وصول این هدف اقدامات جدی تری نیاز است.,https://www.tasnimnews.com/fa/news/1402/02/06/2885321/چرا-حدنصاب-خرید-سهام-صندوق-های-درآمد-ثابت-کاهش-یافت,-1,,,0
24, ۰۶ ارديبهشت ۱۴۰۲ - ۱۰:۰۱ ,جزئیات واگذاری اقساطی سهام عدالت به ۳ دهک جدید + سند,تصویبنامه شورای عالی اجرای سیاستهای کلی اصل ۴۴ قانون اساسی درخصوص نحوه واگذاری سهام عدالت جدید از سوی وزیر اقتصاد ابلاغ شد.,https://www.tasnimnews.com/fa/news/1402/02/06/2885240/جزئیات-واگذاری-اقساطی-سهام-عدالت-به-3-دهک-جدید-سند,0,,,0
25, ۰۶ ارديبهشت ۱۴۰۲ - ۰۹:۳۴ ,رئیس سازمان بورس: فروش سهام صندوق‌های درآمد ثابت بر روند بازار اثرگذار نیست,رئیس سازمان بورس، گفت: الزام صندوق‌های درآمد ثابت به خرید بیشتر سهام، تبدیل به تهدید جدی برای بازار شده بود.,https://www.tasnimnews.com/fa/news/1402/02/06/2885249/رئیس-سازمان-بورس-فروش-سهام-صندوق-های-درآمد-ثابت-بر-روند-بازار-اثرگذار-نیست,-1,,,0
26, ۰۶ ارديبهشت ۱۴۰۲ - ۰۹:۳۳ ,چرا کاهش قیمت پایه محصولات پلیمری و شیمیایی به کف بازار نرسید؟,اگرچه دولت قصد داشت با کاهش قیمت پایه محصولات پلیمری و شیمیایی از سرعت رشد تورم محصولات پایین دستی بکاهد، اما عملا ساز و کار بورس در شرایط فعلی اجازه ی تثبیت قیمت ها در نرخ پایین تر را نمی دهد.,https://www.tasnimnews.com/fa/news/1402/02/06/2885241/چرا-کاهش-قیمت-پایه-محصولات-پلیمری-و-شیمیایی-به-کف-بازار-نرسید,1,,,0
27, ۰۶ ارديبهشت ۱۴۰۲ - ۰۷:۳۸ ,آغاز نخستین عرضه های خودرویی سال ۱۴۰۲ در بورس,تعداد ۴۷۵ دستگاه کامیون و کامیونت سه شنبه هفته آینده (۱۲ اردیبهشت) در تالار خودروی بورس کالا عرضه می‌شود.,https://www.tasnimnews.com/fa/news/1402/02/06/2885186/آغاز-نخستین-عرضه-های-خودرویی-سال-1402-در-بورس,1,,,0
28, ۰۶ ارديبهشت ۱۴۰۲ - ۰۷:۳۸ ,تغییرات در هیات مدیره سرخابی‌ها طی دو هفته آینده,رئیس سازمان خصوصی‌سازی از اعمال تغییراتی در هیات مدیره دو باشگاه استقلال و پرسپولیس طی دو هفته آینده خبر داد.,https://www.tasnimnews.com/fa/news/1402/02/06/2885187/تغییرات-در-هیات-مدیره-سرخابی-ها-طی-دو-هفته-آینده,0,,,0
29, ۰۶ ارديبهشت ۱۴۰۲ - ۰۷:۳۷ ,۱۴۹ هزار قرارداد آتی در بورس کالا منعقد شد,بیش از ۱۴۹ هزار قرارداد آتی به ارزش ۱.۵ همت در فروردین امسال در بورس کالا منعقد شد که به لحاظ ارزش افزایش ۳۲ درصدی را نسبت به مدت مشابه پارسال تجربه کرد.,https://www.tasnimnews.com/fa/news/1402/02/06/2885188/149-هزار-قرارداد-آتی-در-بورس-کالا-منعقد-شد,1,,,0
30, ۰۵ ارديبهشت ۱۴۰۲ - ۱۳:۱۱ ,رکورد ۲.۵ ساله ارزش معاملات خرد بورس شکسته شد,در جریان معاملات امروز، رکورد ارزش معاملات خرد در طی ۲۹ ماه گذشته شکسته شد.,https://www.tasnimnews.com/fa/news/1402/02/05/2884890/رکورد-2-5-ساله-ارزش-معاملات-خرد-بورس-شکسته-شد,1,,,0
31, ۰۵ ارديبهشت ۱۴۰۲ - ۱۲:۲۹ ,کاهش حد نصاب سهام در صندوق های درامد ثابت از ۱۵ به ۱۰ درصد,طبق آخرین ابلاغیه سازمان بورس و اوراق بهادار حد نصاب سهام در صندوق های فیکس از ۱۵ به ۱۰ کاهش یافت و برای اعمال آن ۳ ماه به صندوق های فیکس اینکامی مهلت داده شد.,https://www.tasnimnews.com/fa/news/1402/02/05/2884866/کاهش-حد-نصاب-سهام-در-صندوق-های-درامد-ثابت-از-15-به-10-درصد,0,,,0
32, ۰۵ ارديبهشت ۱۴۰۲ - ۱۲:۲۴ ,گزارش روزانه بورس ۵ اردیبهشت/ رشد ۴۷ هزار واحدی شاخص کل,شاخص کل بازار سهام دومین روز کاری اردیبهشت ماه را با رشدی ۴۵ هزار واحدی به پایان رساند.,https://www.tasnimnews.com/fa/news/1402/02/05/2884845/گزارش-روزانه-بورس-5-اردیبهشت-رشد-47-هزار-واحدی-شاخص-کل,1,,,0
33, ۰۵ ارديبهشت ۱۴۰۲ - ۱۱:۰۶ ,مراحل ثبت‌نام والدین متولدین ۱۴۰۱ برای دریافت سهام نوزادان,مراحل ثبت‌نام والدین متولدین ۱۴۰۱ برای دریافت سهام نوزادان در راستای اجرای ماده ۱۱ قانون حمایت از خانواده و جوانی جمعیت اعلام شد.,https://www.tasnimnews.com/fa/news/1402/02/05/2884792/مراحل-ثبت-نام-والدین-متولدین-1401-برای-دریافت-سهام-نوزادان,0,,,0
34, ۰۵ ارديبهشت ۱۴۰۲ - ۱۰:۲۹ ,کاهش غیرمنتظره سود شرکت دولتی کشت‌وصنعت مغان با وجود تورم ۴۰ درصدی + جدول,بر اساس صورت مالی شرکت کشت و صنعت مغان که چندی قبل از بخش خصوصی پس گرفته شد، با وجود تورم سنگین در سال ۱۴۰۰ سوددهی آن نسبت به سال ۱۳۹۹ کاهش یافته است.,https://www.tasnimnews.com/fa/news/1402/02/05/2884758/کاهش-غیرمنتظره-سود-شرکت-دولتی-کشت-وصنعت-مغان-با-وجود-تورم-40-درصدی-جدول,-1,,,0
35, ۰۵ ارديبهشت ۱۴۰۲ - ۱۰:۰۶ ,رشد ۴۰ هزار واحدی بورس در یک ساعت,بازار سرمایه دومین روز کاری اردیبهشت را پرقدرت استارت زد.,https://www.tasnimnews.com/fa/news/1402/02/05/2884745/رشد-40-هزار-واحدی-بورس-در-یک-ساعت,1,,,0
36, ۰۴ ارديبهشت ۱۴۰۲ - ۱۵:۲۵ ,نوزادان متولد ۱۴۰۱ صندوق قابل معامله در بورس می‌گیرند، نه سهام عدالت!,سهامی که قرار است به نوزادان متولد ۱۴۰۱ اعطا شود ارتباطی به سهام عدالت ندارد و این تخصیص در قالب صندوق‌های ETF (قابل معامله در بورس) خواهد بود.,https://www.tasnimnews.com/fa/news/1402/02/04/2884460/نوزادان-متولد-1401-صندوق-قابل-معامله-در-بورس-می-گیرند-نه-سهام-عدالت,0,,,0
37, ۰۴ ارديبهشت ۱۴۰۲ - ۱۴:۵۳ ,گزارش روزانه بورس ۴ اردیبهشت/ نه عزمی برای رشد نه قصدی برای ریزش,در جا زدن شاخص کل در روزی که شاخص هم وزن رشد خوبی را تجربه کرد.,https://www.tasnimnews.com/fa/news/1402/02/04/2884429/گزارش-روزانه-بورس-4-اردیبهشت-نه-عزمی-برای-رشد-نه-قصدی-برای-ریزش,0,,,0
38, ۰۴ ارديبهشت ۱۴۰۲ - ۱۳:۱۶ ,روند نگران کننده تبدیل شبه پول به پول باید متوقف شود/ بورس، مقصد آتی پول های سرگردان؟,موج سنگین تبدیل سپرده های بلند مدتی به پول، منجر به سرایت پول داغ به بازار های مصرفی می شود که جهش عجیب قیمت ها در بازار خودرو معلول همین علت است.,https://www.tasnimnews.com/fa/news/1402/02/04/2884342/روند-نگران-کننده-تبدیل-شبه-پول-به-پول-باید-متوقف-شود-بورس-مقصد-آتی-پول-های-سرگردان,0,,,0
39, ۰۴ ارديبهشت ۱۴۰۲ - ۰۸:۱۳ ,متولدین ۱۴۰۱ از امروز سهامدار می‌شوند/ تخصیص ۱.۵میلیون تومان سهام برای هر نوزاد,وزیر امور اقتصادی و دارایی اعلام کرد: والدین متولدین ۱۴۰۱ از دوشنبه ۴ اردیبهشت ماه به‌مرور می‌توانند برای دریافت سهام نوزادان خود بدون مراجعه حضوری و از طریق درگاه ملی دولت هوشمند اقدام کنند.,https://www.tasnimnews.com/fa/news/1402/02/04/2884144/متولدین-1401-از-امروز-سهامدار-می-شوند-تخصیص-1-5میلیون-تومان-سهام-برای-هر-نوزاد,1,,,0
40, ۰۴ ارديبهشت ۱۴۰۲ - ۰۷:۴۶ ,جزئیات واگذاری سهام به متولدین ۱۴۰۱ / سهام واگذار شده تا پایان ۲۲ سالگی بلوکه می‌ماند,واگذاری سهام صندوق‌های قابل معامله برای متولدین ۱۴۰۱ در حالی در حال انجام است که با پس‌انداز سود سالانه سهام‌های اختصاص داده شده و رشد قیمت آنها در پایان ۲۴ سالگی فرد می تواند با سرمایه اولیه مطلوبی در بازار بورس به فعالیت خود ادامه دهد.,https://www.tasnimnews.com/fa/news/1402/02/04/2884132/جزئیات-واگذاری-سهام-به-متولدین-1401-سهام-واگذار-شده-تا-پایان-22-سالگی-بلوکه-می-ماند,1,,,0
41, ۰۴ ارديبهشت ۱۴۰۲ - ۰۷:۴۲ ,تصویب واگذاری ۲۰۸ شرکت در سال ۱۴۰۲,هیئت واگذاری در نخستین جلسه خود در سال جدید فهرست شرکت‌های مشمول واگذاری در سال ۱۴۰۲ که ۲۰۸ شرکت را شامل می‌شود، تصویب کرد.,https://www.tasnimnews.com/fa/news/1402/02/04/2884130/تصویب-واگذاری-208-شرکت-در-سال-1402,1,,,0
42, ۳۰ فروردين ۱۴۰۲ - ۱۵:۱۹ ,استراحت شاخص بورس در ارتفاع ۲.۳میلیون واحد,شاخص بورس در جریان معاملات امروز بازار سرمایه با افت ۱۳۰۴واحدی روبه‌رو شد.,https://www.tasnimnews.com/fa/news/1402/01/30/2882812/استراحت-شاخص-بورس-در-ارتفاع-2-3میلیون-واحد,-1,,,0
43, ۳۰ فروردين ۱۴۰۲ - ۱۳:۳۰ ,خداحافظی سلطانی‌نژاد از بورس کالا/ جهرمی جایگزین شد,در پی خداحافظی حامد سلطانی نژاد از شرکت بورس کالای ایران، سیدجواد جهرمی مدیرعامل بورس کالای ایران شد.,https://www.tasnimnews.com/fa/news/1402/01/30/2882732/خداحافظی-سلطانی-نژاد-از-بورس-کالا-جهرمی-جایگزین-شد,0,,,0
44, ۳۰ فروردين ۱۴۰۲ - ۱۳:۰۱ ,پیش بینی رونق بورس در سال ۱۴۰۲/ دست نامرعی بورس می‌تواند اقتصاد را به تعادل برساند,یک کارشناس بازار سرمایه گفت: امسال وضعیت بورس امیدبخش و امیدآفرین بوده و براساس پیش بینی هایی که از سال قبل هم می شد، امسال بورس رونق خواهد گرفت، البته لازمه این کار عدم دخالت دولت در امور بورس و نیز دادن فرصت به صنایع است.,https://www.tasnimnews.com/fa/news/1402/01/30/2882712/پیش-بینی-رونق-بورس-در-سال-1402-دست-نامرعی-بورس-می-تواند-اقتصاد-را-به-تعادل-برساند,1,,,0
45, ۳۰ فروردين ۱۴۰۲ - ۰۸:۳۶ ,زمان پرداخت سود سهام عدالت ۴ ماه کاهش یافت,رئیس سازمان بورس گفت: زمان پرداخت سود نقدی همه سهامداران از جمله سهام عدالت به چهار ماه کاهش می‌یابد.,https://www.tasnimnews.com/fa/news/1402/01/30/2882473/زمان-پرداخت-سود-سهام-عدالت-4-ماه-کاهش-یافت,1,,,0
46, ۳۰ فروردين ۱۴۰۲ - ۰۷:۴۴ ,ضرایب تعدیل سهام در محاسبه حساب تضمین معاملات اعتباری کاهش یافت,مدیریت نظارت بر کارگزاران سازمان بورس طی ابلاغیه‌ای با موضوع مصوبه کمیته پایش ریسک بازار، آخرین تغییرات را در خصوص کاهش ضرایب تعدیل سهام‌ در محاسبه حساب تضمین معاملات اعتباری اوراق بهادار را اعلام کرد.,https://www.tasnimnews.com/fa/news/1402/01/30/2882460/ضرایب-تعدیل-سهام-در-محاسبه-حساب-تضمین-معاملات-اعتباری-کاهش-یافت,0,,,0
47, ۳۰ فروردين ۱۴۰۲ - ۰۷:۴۲ ,شرایط دومین عرضه بلوک ۵۱ درصدی سرخابی‌ها آسان‌تر می‌شود,رئیس سازمان خصوصی‌سازی با اشاره به تصمیم واگذاری بقیه سهام استقلال و پرسپولیس به بخش خصوصی، از آسان‌تر شدن شرایط مزایده دوم بلوک ۵۱ درصدی دو باشگاه‌ خبر داد.,https://www.tasnimnews.com/fa/news/1402/01/30/2882462/شرایط-دومین-عرضه-بلوک-51-درصدی-سرخابی-ها-آسان-تر-می-شود,1,,,0
48, ۳۰ فروردين ۱۴۰۲ - ۰۷:۴۱ ,زمان انتظار برای دریافت سود مجامع نصف شد,با نظر هیات مدیره سازمان بورس، پرداخت کامل سود به صاحبان سهام باید حداکثر ظرف چهار ماه پس از تصمیم مجمع عمومی راجع به تقسیم سود انجام پذیرد.,https://www.tasnimnews.com/fa/news/1402/01/30/2882464/زمان-انتظار-برای-دریافت-سود-مجامع-نصف-شد,1,,,0
49, ۲۹ فروردين ۱۴۰۲ - ۱۳:۰۷ ,نگاهی به کارنامه چهارساله شرکت سرمایه گذاری ملی ایران,سال ۱۳۹۸، ترکیب سهامداری شرکت سرمایه گذاری ملی ایران (سهامی عام) (ونیکی) با تغییر همراه شد و رویکردی توسعه‌محور در دستور کار هیات مدیره جدید این شرکت قرار گرفت.,https://www.tasnimnews.com/fa/news/1402/01/29/2882147/نگاهی-به-کارنامه-چهارساله-شرکت-سرمایه-گذاری-ملی-ایران,1,,,0
50, ۲۹ فروردين ۱۴۰۲ - ۰۸:۱۲ ,مهلت ۵۴ روزه سازمان بورس به کارگزاری‌ها برای تأمین حداقل سرمایه,سرپرست اداره امور کارگزاران سازمان بورس از مهلت ۵۴ روزه سازمان بورس به کارگزاری‌ها برای تأمین حداقل سرمایه خبر داد.,https://www.tasnimnews.com/fa/news/1402/01/29/2881878/مهلت-54-روزه-سازمان-بورس-به-کارگزاری-ها-برای-تأمین-حداقل-سرمایه,0,,,0
51, ۲۸ فروردين ۱۴۰۲ - ۱۳:۴۶ ,شاخص بورس ۱۴ هزار واحد رشد کرد,شاخص بورس در جریان معاملات امروز بازار سرمایه با رشد ۱۴هزارواحدی روبه‌رو شد.,https://www.tasnimnews.com/fa/news/1402/01/28/2881626/شاخص-بورس-14-هزار-واحد-رشد-کرد,1,,,0
52, ۲۸ فروردين ۱۴۰۲ - ۱۳:۰۵ ,سود جاری و سنواتی ۱۲ ناشر بورسی پرداخت شد,از ابتدای امسال سود جاری و سنواتی ۱۲ ناشر بازار سرمایه پرداخت شد.,https://www.tasnimnews.com/fa/news/1402/01/28/2881599/سود-جاری-و-سنواتی-12-ناشر-بورسی-پرداخت-شد,1,,,0
53, ۲۸ فروردين ۱۴۰۲ - ۱۲:۵۴ ,دامنه نوسان نمادهای بازار پایه تغییر نمی‌کند,فرابورس ایران اعلام کرد: در شرایط فعلی، پیشنهاد و درخواستی برای افزایش دامنه نوسان سهام شرکت های حاضر در تابلوهای زرد، نارنجی و قرمز ندارد.,https://www.tasnimnews.com/fa/news/1402/01/28/2881591/دامنه-نوسان-نمادهای-بازار-پایه-تغییر-نمی-کند,0,,,0
54, ۲۸ فروردين ۱۴۰۲ - ۰۸:۲۸ ,فراخوان سازمان بورس برای طرح و بررسی مشکلات صنایع,سازمان بورس فراخوانی برای تهیه فهرستی از مشکلات هر صنعت به همراه پیشنهادات مربوطه را منتشر کرد.,https://www.tasnimnews.com/fa/news/1402/01/28/2881365/فراخوان-سازمان-بورس-برای-طرح-و-بررسی-مشکلات-صنایع,0,,,0
